"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"31 Jul 2025","FUTCOM","ALUMINI      ","31JUL2025","-","0.00","252.00","254.00","251.00","254.15","253.20","42","42.000 KGS  ","106.03","20"
"31 Jul 2025","FUTCOM","ALUMINI      ","29AUG2025","-","0.00","253.55","253.55","250.40","250.60","253.80","1286","1286.000 KGS  ","3239.17","845"
"31 Jul 2025","FUTCOM","ALUMINI      ","30SEP2025","-","0.00","254.00","254.45","251.35","251.75","255.10","166","166.000 KGS  ","420.33","87"
"31 Jul 2025","FUTCOM","ALUMINI      ","31OCT2025","-","0.00","254.00","254.40","252.15","253.30","255.10","8","8.000 KGS  ","20.26","13"
"31 Jul 2025","FUTCOM","ALUMINI      ","28NOV2025","-","0.00","","","","253.85","255.65","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","FUTCOM","ALUMINIUM    ","31JUL2025","-","0.00","251.50","251.50","251.25","254.15","252.65","11","55.000 KGS  ","138.31","40"
"31 Jul 2025","FUTCOM","ALUMINIUM    ","29AUG2025","-","0.00","252.20","253.55","250.00","250.45","253.85","1398","6990.000 KGS  ","17570.53","4510"
"31 Jul 2025","FUTCOM","ALUMINIUM    ","30SEP2025","-","0.00","254.05","254.15","251.00","251.50","254.70","194","970.000 KGS  ","2455.75","176"
"31 Jul 2025","FUTCOM","ALUMINIUM    ","31OCT2025","-","0.00","252.00","252.00","251.90","251.95","256.45","2","10.000 KGS  ","25.20","10"
"31 Jul 2025","FUTCOM","ALUMINIUM    ","28NOV2025","-","0.00","","","","253.40","257.60","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","FUTCOM","CARDAMOM     ","29AUG2025","-","0.00","2807.00","2818.00","2775.00","2786.00","2845.00","100","10.000 KGS  ","279.70","63"
"31 Jul 2025","FUTCOM","CARDAMOM     ","30SEP2025","-","0.00","2700.00","2700.00","2700.00","2700.00","2713.00","2","0.200 KGS  ","5.40","18"
"31 Jul 2025","FUTCOM","CARDAMOM     ","31OCT2025","-","0.00","","","","2826.00","2826.00","0","0.000 KGS  ","0.00","4"
"31 Jul 2025","FUTCOM","CARDAMOM     ","28NOV2025","-","0.00","","","","2950.00","2950.00","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","FUTCOM","COPPER       ","31JUL2025","-","0.00","880.00","881.95","862.00","894.10","892.05","27","67.500 KGS  ","590.18","30"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","825.00","","","","0.19","0.01","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","890.00","14.75","35.09","12.44","21.34","9.10","231","577.500 KGS  ","5278.49","91"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","865.00","19.43","19.50","19.43","19.47","32.66","2","5.000 KGS  ","44.22","2"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","860.00","23.69","23.69","23.69","23.69","37.54","1","2.500 KGS  ","22.09","1"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","885.00","10.83","10.83","10.83","10.83","14.91","1","2.500 KGS  ","22.40","1"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","885.00","29.33","29.33","17.65","24.27","2.36","9","22.500 KGS  ","204.59","3"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","870.00","18.35","23.81","15.31","15.93","27.89","121","302.500 KGS  ","2683.85","49"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","845.00","5.88","6.64","3.30","5.27","0.01","3","7.500 KGS  ","63.77","1"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","835.00","","","","41.55","62.36","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","800.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","810.00","","","","65.94","87.27","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","820.00","","","","56.06","77.31","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","865.00","5.40","14.58","5.40","8.82","0.19","15","37.500 KGS  ","328.11","5"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","820.00","","","","0.11","0.01","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","CE","895.00","","","","3.60","8.30","0","0.000 KGS  ","0.00","0"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","895.00","37.14","37.14","23.33","25.22","5.71","23","57.500 KGS  ","530.65","11"
"31 Jul 2025","OPTFUT","COPPER       ","22AUG2025","PE","815.00","","","","0.06","0.01","0","0.000 KGS  ","0.00","0"
